	SRR19625066_R1_filtered.fastq.gz	SRR19625067_R1_filtered.fastq.gz	SRR19625068_R1_filtered.fastq.gz	SRR19625069_R1_filtered.fastq.gz	SRR19625070_R1_filtered.fastq.gz	SRR19625071_R1_filtered.fastq.gz	SRR19625072_R1_filtered.fastq.gz	SRR19625073_R1_filtered.fastq.gz	SRR19625074_R1_filtered.fastq.gz	SRR19625075_R1_filtered.fastq.gz	SRR19625076_R1_filtered.fastq.gz	SRR19625077_R1_filtered.fastq.gz	SRR19625078_R1_filtered.fastq.gz	SRR19625079_R1_filtered.fastq.gz	SRR19625080_R1_filtered.fastq.gz	SRR19625081_R1_filtered.fastq.gz	SRR19625082_R1_filtered.fastq.gz	SRR19625083_R1_filtered.fastq.gz	SRR19625084_R1_filtered.fastq.gz	SRR19625085_R1_filtered.fastq.gz	SRR19625086_R1_filtered.fastq.gz	SRR19625087_R1_filtered.fastq.gz	SRR19625088_R1_filtered.fastq.gz	SRR19625089_R1_filtered.fastq.gz	SRR19625090_R1_filtered.fastq.gz	SRR19625091_R1_filtered.fastq.gz	SRR19625092_R1_filtered.fastq.gz	SRR19625093_R1_filtered.fastq.gz	SRR19625094_R1_filtered.fastq.gz	SRR19625095_R1_filtered.fastq.gz	SRR19625096_R1_filtered.fastq.gz	SRR19625097_R1_filtered.fastq.gz	SRR19625098_R1_filtered.fastq.gz	SRR19625099_R1_filtered.fastq.gz	SRR19625100_R1_filtered.fastq.gz	SRR19625101_R1_filtered.fastq.gz	SRR19625102_R1_filtered.fastq.gz	SRR19625103_R1_filtered.fastq.gz	SRR19625104_R1_filtered.fastq.gz	SRR19625105_R1_filtered.fastq.gz	SRR19625106_R1_filtered.fastq.gz	SRR19625107_R1_filtered.fastq.gz	SRR19625108_R1_filtered.fastq.gz	SRR19625109_R1_filtered.fastq.gz	SRR19625110_R1_filtered.fastq.gz	SRR19625111_R1_filtered.fastq.gz	SRR19625112_R1_filtered.fastq.gz	SRR19625113_R1_filtered.fastq.gz	SRR19625114_R1_filtered.fastq.gz	SRR19625115_R1_filtered.fastq.gz	SRR19625116_R1_filtered.fastq.gz	SRR19625117_R1_filtered.fastq.gz	SRR19625118_R1_filtered.fastq.gz	SRR19625119_R1_filtered.fastq.gz	SRR19625120_R1_filtered.fastq.gz	SRR19625121_R1_filtered.fastq.gz	SRR19625122_R1_filtered.fastq.gz	SRR19625123_R1_filtered.fastq.gz	SRR19625124_R1_filtered.fastq.gz	SRR19625125_R1_filtered.fastq.gz	SRR19625126_R1_filtered.fastq.gz	SRR19625127_R1_filtered.fastq.gz	SRR19625128_R1_filtered.fastq.gz	SRR19625129_R1_filtered.fastq.gz	SRR19625130_R1_filtered.fastq.gz	SRR19625131_R1_filtered.fastq.gz	SRR19625132_R1_filtered.fastq.gz	SRR19625133_R1_filtered.fastq.gz	SRR19625134_R1_filtered.fastq.gz	SRR19625135_R1_filtered.fastq.gz	SRR19625136_R1_filtered.fastq.gz	SRR19625137_R1_filtered.fastq.gz
ASV_1	0	0	150	0	317	136	50	0	61	120	0	168	69	0	0	78	0	0	162	0	0	194	0	0	194	0	0	0	122	43	0	81	0	0	68	41	0	0	234	0	0	26	67	0	260	0	0	175	313	89	93	0	95	68	0	334	91	226	0	0	75	241	0	0	0	515	102	255	0	153	0	586
ASV_2	0	0	107	0	234	108	45	0	16	103	0	149	100	0	0	108	0	0	180	56	0	266	0	0	228	0	0	0	133	0	0	87	0	0	62	0	0	0	237	50	0	126	88	0	206	79	0	219	279	63	88	0	95	73	0	356	99	200	0	0	0	174	73	0	0	544	0	246	0	107	0	400
ASV_3	0	0	63	37	114	96	63	69	0	94	0	90	119	309	0	65	77	0	119	269	37	68	311	50	79	0	58	75	70	0	0	0	52	0	0	288	121	0	96	0	61	0	105	0	101	0	0	79	125	44	67	0	53	0	84	72	0	97	76	0	85	70	424	50	0	140	0	242	0	57	141	0
ASV_4	0	126	67	55	99	95	87	169	218	73	0	95	0	0	110	73	68	0	112	0	35	93	0	60	99	0	50	0	62	59	0	0	0	0	0	0	89	0	97	0	58	0	69	0	89	152	370	76	96	68	65	0	0	0	94	99	172	101	75	0	94	71	0	47	375	169	73	0	143	44	0	138
ASV_5	0	0	75	52	78	84	99	100	0	97	95	90	0	0	0	58	61	0	90	0	37	70	0	80	67	0	53	69	63	91	0	60	207	274	0	0	62	0	96	114	56	318	0	0	96	248	0	78	132	50	64	0	56	102	109	87	0	97	71	0	79	73	0	0	0	156	0	0	243	49	108	179
ASV_6	49	0	101	0	282	112	0	0	48	111	0	162	61	0	0	79	0	0	139	0	0	172	0	0	186	0	0	0	121	0	0	109	72	0	45	0	0	0	207	0	0	68	59	0	194	0	0	136	295	81	91	0	74	48	0	245	65	201	0	42	0	121	0	0	0	401	0	228	0	103	0	0
ASV_7	618	0	0	0	194	0	101	0	0	196	0	0	0	0	0	0	0	0	113	239	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	120	185	0	0	0	0	215	464	0	0	224	102	98	479	0	93	0	0	0	0	68	0	0	0	0	158	0	200	0	0	0	0	139	180
ASV_8	398	0	62	0	101	52	63	0	108	50	161	35	64	0	45	52	0	0	83	295	313	52	82	0	68	0	0	0	0	78	0	63	0	0	0	0	0	0	31	51	0	41	108	0	92	0	0	74	107	86	129	0	0	0	0	80	0	108	0	282	73	182	0	0	0	105	0	46	242	59	0	144
ASV_9	0	0	80	0	124	89	52	0	50	79	0	124	0	56	0	85	51	0	99	0	0	119	0	0	128	0	0	0	93	0	0	70	0	0	0	0	0	0	167	0	0	63	0	0	154	62	0	114	167	80	62	0	64	57	38	265	68	159	0	65	0	125	0	0	0	372	57	201	0	97	118	372
ASV_10	142	0	115	0	133	61	48	0	38	78	0	129	66	0	47	58	43	0	86	0	0	137	0	0	94	0	0	0	89	39	0	87	0	0	0	51	121	0	114	0	0	64	46	0	139	0	0	157	224	63	75	0	55	42	194	138	88	147	0	0	0	111	0	0	0	251	44	131	0	14	0	230
ASV_11	48	0	80	0	131	102	0	0	48	82	0	124	73	0	0	72	0	0	115	0	0	163	0	0	145	0	0	0	102	0	0	54	0	0	0	0	0	0	174	0	0	22	0	0	163	0	0	155	177	64	71	0	53	55	0	293	64	189	58	0	0	111	0	0	0	397	0	172	0	83	0	313
ASV_12	0	0	99	0	141	60	37	0	48	74	0	135	78	0	37	57	42	0	74	0	0	166	0	0	136	0	0	145	94	74	0	62	0	0	0	27	0	0	135	0	0	78	44	0	89	0	0	199	201	64	64	0	46	51	0	165	87	158	0	0	0	110	0	0	0	297	36	135	0	12	0	166
ASV_13	39	0	93	0	140	70	28	0	34	64	0	133	47	0	0	68	55	0	63	0	0	136	151	0	102	0	0	0	108	50	0	80	0	0	0	51	0	0	146	0	0	81	48	0	124	0	0	139	245	69	65	0	49	40	0	166	69	163	0	0	0	105	0	0	0	215	32	135	0	9	0	20
ASV_14	0	0	87	0	132	67	51	48	84	73	0	114	59	0	0	50	0	0	81	0	0	152	0	0	121	0	0	0	83	0	0	0	0	0	57	0	0	0	149	0	0	23	0	0	147	0	0	122	138	54	57	0	95	0	0	174	60	132	0	0	0	136	0	0	0	363	0	162	0	120	0	117
ASV_15	248	0	69	0	148	55	83	54	0	0	0	71	0	157	0	44	75	0	68	0	36	68	0	0	54	0	65	0	66	177	228	0	0	0	0	0	10	0	114	0	73	0	0	0	77	0	0	0	134	0	64	0	0	0	45	73	0	81	56	0	68	59	0	0	0	128	17	154	0	62	127	140
ASV_16	0	0	84	64	0	0	68	0	0	0	0	155	0	0	0	270	0	0	0	0	0	463	0	0	125	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	89	0	0	0	0	156	273	260	0	92	0	145
ASV_17	0	0	83	0	123	95	49	0	18	85	0	107	59	0	38	0	0	0	108	0	0	128	0	0	119	0	0	0	91	0	0	0	0	0	141	0	0	0	134	0	0	89	0	0	178	0	0	101	100	0	0	0	90	0	0	125	0	114	0	0	0	147	0	0	0	223	0	131	0	84	0	300
ASV_18	0	0	51	0	110	54	48	0	0	44	0	42	56	0	0	72	0	0	115	0	78	52	0	0	92	0	0	0	0	0	0	51	0	0	0	0	0	0	35	58	0	43	65	0	69	0	0	87	95	106	120	0	0	0	335	82	0	73	157	0	39	0	327	0	0	96	155	40	0	69	0	120
ASV_19	0	0	73	0	110	97	0	0	74	81	0	109	70	0	0	0	36	0	106	0	0	166	0	0	143	0	0	0	97	0	0	67	0	0	104	0	0	0	149	0	0	15	0	0	125	0	0	94	107	53	0	0	60	0	0	126	0	111	0	0	0	125	0	0	0	282	0	160	0	89	0	203
ASV_20	0	0	71	0	125	70	0	0	74	62	0	107	51	0	0	0	43	0	91	0	0	111	0	0	140	0	0	0	76	37	0	0	0	0	16	0	0	0	136	0	0	71	0	0	165	0	0	86	166	65	0	0	100	62	0	169	60	111	0	0	0	145	0	0	0	301	47	153	0	104	0	0
